Order ID,Order Date,Ship Date,Ship Mode,Segment,Region,State,Category,Sub-Category,Sales,Quantity,Discount,Profit
ORD-10000,2024-06-19,2024-06-20,Same Day,Corporate,West,Washington,Office Supplies,Art,377.96,9,0.15,60.47
ORD-10001,2025-12-04,2025-12-10,First Class,Consumer,Central,Texas,Office Supplies,Art,541.0,9,0.0,151.48
ORD-10002,2025-08-02,2025-08-04,First Class,Corporate,Central,Texas,Technology,Machines,302.64,1,0.1,30.26
ORD-10003,2023-04-03,2023-04-04,Standard Class,Consumer,Central,Texas,Office Supplies,Storage,147.04,6,0.1,29.41
ORD-10004,2025-01-11,2025-01-13,Standard Class,Consumer,West,Washington,Office Supplies,Binders,104.25,2,0.1,20.85
ORD-10005,2023-12-16,2023-12-20,Standard Class,Consumer,East,Pennsylvania,Office Supplies,Art,200.95,4,0.4,-8.04
ORD-10006,2025-10-04,2025-10-10,Standard Class,Corporate,Central,Ohio,Furniture,Chairs,1045.54,3,0.3,-125.46
ORD-10007,2025-09-14,2025-09-16,Standard Class,Corporate,East,Pennsylvania,Office Supplies,Storage,324.03,6,0.4,-12.96
ORD-10008,2024-03-19,2024-03-22,Standard Class,Consumer,West,California,Technology,Accessories,2960.8,5,0.2,59.22
ORD-10009,2024-02-26,2024-02-28,Standard Class,Consumer,South,Tennessee,Office Supplies,Binders,217.44,8,0.15,34.79
ORD-10010,2023-09-05,2023-09-07,Standard Class,Consumer,West,Oregon,Office Supplies,Paper,187.32,5,0.4,-7.49
ORD-10011,2023-10-16,2023-10-22,Standard Class,Corporate,West,Arizona,Office Supplies,Art,318.17,8,0.2,38.18
ORD-10012,2023-07-03,2023-07-10,Standard Class,Corporate,East,New Jersey,Furniture,Bookcases,1167.26,3,0.5,-326.83
ORD-10013,2025-09-06,2025-09-09,Standard Class,Home Office,West,Arizona,Office Supplies,Binders,45.57,1,0.0,12.76
ORD-10014,2025-04-02,2025-04-05,Standard Class,Corporate,East,Massachusetts,Office Supplies,Art,382.53,8,0.3,15.3
ORD-10015,2024-10-01,2024-10-05,Standard Class,Consumer,Central,Texas,Furniture,Tables,1496.44,6,0.15,-0.0
ORD-10016,2024-01-02,2024-01-05,First Class,Consumer,South,Florida,Technology,Phones,1530.52,5,0.2,30.61
ORD-10017,2025-12-27,2025-12-29,Standard Class,Home Office,East,New Jersey,Technology,Copiers,415.19,1,0.2,8.3
ORD-10018,2024-01-16,2024-01-20,Second Class,Consumer,West,Washington,Furniture,Tables,527.03,2,0.0,63.24
ORD-10019,2025-03-22,2025-03-24,Standard Class,Consumer,South,Florida,Office Supplies,Binders,181.51,3,0.3,7.26
ORD-10020,2025-07-27,2025-08-03,Standard Class,Corporate,West,Washington,Office Supplies,Paper,231.75,5,0.0,64.89
ORD-10021,2024-10-07,2024-10-08,Same Day,Consumer,Central,Texas,Office Supplies,Art,181.32,8,0.5,-21.76
ORD-10022,2025-06-15,2025-06-20,Standard Class,Consumer,Central,Michigan,Office Supplies,Paper,74.73,2,0.15,11.96
ORD-10023,2023-05-07,2023-05-11,Second Class,Home Office,West,California,Office Supplies,Paper,216.95,8,0.3,8.68
ORD-10024,2023-04-14,2023-04-15,Standard Class,Corporate,East,Pennsylvania,Office Supplies,Art,235.15,9,0.0,65.84
ORD-10025,2025-08-08,2025-08-09,Standard Class,Home Office,Central,Texas,Office Supplies,Paper,177.63,4,0.0,49.74
ORD-10026,2023-09-12,2023-09-15,Standard Class,Home Office,West,Oregon,Office Supplies,Paper,77.58,3,0.0,21.72
ORD-10027,2024-02-29,2024-03-05,Standard Class,Home Office,Central,Ohio,Office Supplies,Storage,117.4,3,0.0,32.87
ORD-10028,2023-12-31,2024-01-06,Standard Class,Home Office,Central,Illinois,Technology,Accessories,5152.33,8,0.0,927.42
ORD-10029,2024-09-08,2024-09-11,Standard Class,Home Office,South,Florida,Office Supplies,Storage,32.6,1,0.3,1.3
ORD-10030,2025-06-08,2025-06-09,Second Class,Consumer,South,Florida,Furniture,Tables,534.74,2,0.3,-64.17
ORD-10031,2023-08-15,2023-08-19,Standard Class,Consumer,West,Oregon,Furniture,Chairs,3340.16,8,0.3,-400.82
ORD-10032,2025-11-01,2025-11-07,First Class,Home Office,Central,Illinois,Technology,Accessories,2817.39,7,0.1,281.74
ORD-10033,2025-12-16,2025-12-22,Standard Class,Corporate,East,New Jersey,Furniture,Chairs,1383.0,5,0.1,55.32
ORD-10034,2023-09-13,2023-09-14,Standard Class,Corporate,East,New York,Office Supplies,Art,445.85,8,0.0,124.84
ORD-10035,2023-04-18,2023-04-19,Standard Class,Home Office,Central,Illinois,Office Supplies,Paper,294.86,6,0.0,82.56
ORD-10036,2024-09-16,2024-09-17,Standard Class,Home Office,South,Tennessee,Furniture,Bookcases,1192.67,5,0.15,0.0
ORD-10037,2023-06-04,2023-06-07,Standard Class,Consumer,East,New Jersey,Technology,Accessories,3295.94,5,0.15,197.76
ORD-10038,2024-07-08,2024-07-15,Standard Class,Consumer,South,Tennessee,Office Supplies,Binders,65.06,2,0.0,18.22
ORD-10039,2025-03-04,2025-03-11,Standard Class,Home Office,East,Massachusetts,Technology,Accessories,3396.8,8,0.2,67.94
ORD-10040,2025-04-23,2025-04-29,Standard Class,Corporate,South,Tennessee,Technology,Accessories,2100.6,4,0.0,378.11
ORD-10041,2023-02-14,2023-02-20,Standard Class,Consumer,East,New York,Furniture,Chairs,336.19,1,0.0,40.34
ORD-10042,2024-07-21,2024-07-28,Same Day,Corporate,East,Massachusetts,Office Supplies,Art,313.28,5,0.0,87.72
ORD-10043,2023-08-25,2023-08-30,Standard Class,Corporate,West,Washington,Technology,Accessories,1499.15,2,0.4,-209.88
ORD-10044,2025-12-22,2025-12-28,First Class,Consumer,West,Washington,Furniture,Tables,1513.82,7,0.2,-60.55
ORD-10045,2025-10-21,2025-10-27,Standard Class,Consumer,West,California,Technology,Copiers,1083.71,3,0.15,65.02
ORD-10046,2023-10-23,2023-10-24,Standard Class,Home Office,West,Arizona,Office Supplies,Art,192.55,4,0.1,38.51
ORD-10047,2025-11-19,2025-11-25,Second Class,Home Office,West,Arizona,Technology,Phones,3025.45,9,0.0,544.58
ORD-10048,2024-02-16,2024-02-17,Second Class,Consumer,West,Washington,Technology,Machines,3392.41,6,0.15,203.54
ORD-10049,2025-04-24,2025-04-29,Standard Class,Consumer,East,Pennsylvania,Office Supplies,Art,250.99,9,0.0,70.28
ORD-10050,2024-12-25,2024-12-28,Standard Class,Home Office,West,Oregon,Office Supplies,Art,217.82,4,0.0,60.99
ORD-10051,2024-05-06,2024-05-12,Standard Class,Corporate,West,California,Office Supplies,Binders,231.79,9,0.15,37.09
ORD-10052,2023-09-23,2023-09-29,Standard Class,Corporate,South,Georgia,Office Supplies,Art,123.32,3,0.3,4.93
ORD-10053,2023-02-20,2023-02-27,Standard Class,Consumer,West,Oregon,Technology,Machines,2261.73,7,0.0,407.11
ORD-10054,2024-07-17,2024-07-18,Second Class,Consumer,Central,Illinois,Technology,Phones,2850.57,9,0.0,513.1
ORD-10055,2025-10-21,2025-10-23,Standard Class,Corporate,Central,Ohio,Technology,Accessories,3158.64,6,0.5,-694.9
ORD-10056,2024-08-24,2024-08-25,Standard Class,Consumer,East,New Jersey,Office Supplies,Art,400.88,9,0.5,-48.11
ORD-10057,2023-07-29,2023-07-30,Standard Class,Corporate,East,Massachusetts,Furniture,Furnishings,764.54,2,0.0,91.74
ORD-10058,2025-12-29,2026-01-03,First Class,Consumer,West,Arizona,Technology,Machines,5171.7,8,0.0,930.91
ORD-10059,2025-07-11,2025-07-16,Second Class,Corporate,East,Massachusetts,Office Supplies,Art,28.51,1,0.15,4.56
ORD-10060,2025-09-26,2025-09-28,Standard Class,Home Office,South,Georgia,Furniture,Furnishings,1200.54,7,0.1,48.02
ORD-10061,2024-02-27,2024-02-29,Standard Class,Corporate,West,Arizona,Furniture,Furnishings,223.65,1,0.3,-26.84
